"Story","Title","Result","Date","Stability","Duration (s)"
"Crear usuario en orange","Creacion de usuario tipo Admin","SUCCESS","2023-05-11T09:07:14.409886-05:00[America/Bogota]","0.0","13.47"
"Logueo en pagina de orange","Logueo de Admin","SUCCESS","2023-05-11T07:46:28.324356-05:00[America/Bogota]","0.0","11.64"
